Year,Types,Consumption
2019,Beer,3.97
2019,Wine,1.67
2019,Spirits,3.29
2018,Beer,3.97
2018,Wine,1.67
2018,Spirits,3.29
2017,Beer,4.01
2017,Wine,1.67
2017,Spirits,3.22
2016,Beer,4.09
2016,Wine,1.67
2016,Spirits,3.14
2015,Beer,4.13
2015,Wine,1.59
2015,Spirits,3.07
2014,Beer,4.13
2014,Wine,1.63
2014,Spirits,3.03
2013,Beer,4.23
2013,Wine,1.59
2013,Spirits,2.99
2012,Beer,4.29
2012,Wine,1.6
2012,Spirits,2.96
2011,Beer,4.22
2011,Wine,1.55
2011,Spirits,2.89
2010,Beer,4.3
2010,Wine,1.45
2010,Spirits,2.81
