Country,Types,Total_Consumption
Cook Islands,Spirits,67.91
Czechia,Beer,68.1
France,Wine,69.69
Afghanistan,Wine,0
Bangladesh,Beer,0
Bangladesh,Wine,0
Bangladesh,Spirits,0
Democratic People's Republic of Korea,Wine,0
Eritrea,Wine,0
Eritrea,Spirits,0
India,Wine,0
Iran (Islamic Republic of),Beer,0
Iran (Islamic Republic of),Wine,0
Kuwait,Beer,0
Kuwait,Wine,0
Kuwait,Spirits,0
Mauritania,Beer,0
Mauritania,Wine,0
Mauritania,Spirits,0
Pakistan,Beer,0
Pakistan,Wine,0
Saudi Arabia,Beer,0
Saudi Arabia,Wine,0
Saudi Arabia,Spirits,0
Somalia,Beer,0
Somalia,Wine,0
Somalia,Spirits,0
Yemen,Wine,0
Yemen,Spirits,0
